,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,KNN,KNN,KNN,KNN,KNN,LOF,LOF,LOF,LOF,LOF,IForest,IForest,IForest,IForest,IForest,IForest,OCSVM,OCSVM,OCSVM,OCSVM,OCSVM,AutoEncoder,AutoEncoder,AutoEncoder,AutoEncoder
,n_jobs,n_estimators,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,n_neighbors,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,n_neighbors,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,random_state,n_estimators,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,contamination,gamma,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,hidden_neurons,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict
0,,111,0.9906,0.6667,0.5833,42,0.05,1.0,1.0,0.993,42,0.05,0.9977,0.8333,0.9096,28,31,0.05,0.9977,0.8333,0.993,0.05,0.012679326812500414,0.9953,0.8333,0.9061,"[14, 13, 12, 11, 10, 10, 9, 8, 7, 6, 5, 4, 3, 3, 3, 4, 5, 6, 7, 8, 9, 10, 10, 11, 12, 13, 14]",0.9977,0.8333,0.9683
1,,116,0.9836,0.6667,0.6667,76,0.05,0.9988,0.8333,0.993,76,0.05,1.0,1.0,0.993,28,41,0.05,0.9988,0.8333,0.993,0.05,0.0008485495672153498,0.9953,0.8333,0.9061,"[14, 8, 3, 8, 14]",0.9977,0.8333,0.9683
2,,109,0.993,1.0,0.6667,16,0.05,1.0,1.0,0.993,16,0.05,0.993,0.8333,0.9096,28,37,0.05,0.9977,0.8333,0.993,0.05,7.494965603069268e-07,0.9953,0.8333,0.993,"[14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.9977,0.8333,0.9683
3,,131,0.9965,0.8333,0.6667,95,0.05,0.9953,0.8333,0.993,95,0.05,0.9988,0.8333,0.9965,28,67,0.05,0.9988,0.8333,0.993,0.05,6.0694114676154435e-05,0.9941,0.8333,0.9061,"[14, 13, 12, 10, 9, 8, 7, 6, 5, 4, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14]",0.9965,0.8333,0.9683
4,,127,0.9918,0.6667,0.6667,2,0.05,0.9965,0.8333,0.7465,2,0.05,0.6596,0.0,0.4965,28,23,0.05,0.9977,0.8333,0.993,0.05,0.029454892626256144,0.9977,0.8333,0.993,"[14, 12, 11, 9, 7, 6, 4, 3, 4, 6, 7, 9, 11, 12, 14]",0.9965,0.8333,0.9683
5,,120,0.9883,0.6667,0.75,37,0.05,1.0,1.0,0.993,37,0.05,0.9977,0.8333,0.9096,28,76,0.05,0.9988,0.8333,0.993,0.05,0.00037752948147387047,0.9953,0.8333,0.9061,"[14, 12, 11, 10, 8, 7, 5, 4, 3, 4, 5, 7, 8, 10, 11, 12, 14]",0.9965,0.8333,0.9683
6,,126,0.9883,0.6667,0.75,73,0.05,0.9988,0.8333,0.9965,73,0.05,1.0,1.0,0.993,28,8,0.05,0.9812,0.5,0.9061,0.05,1.9004371387710233e-06,0.9953,0.8333,0.993,"[14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.9977,0.8333,0.9683
7,,110,0.9765,0.5,0.6596,15,0.05,0.9977,0.8333,0.993,15,0.05,0.9906,0.6667,0.9061,28,57,0.05,0.9988,0.8333,0.993,0.05,0.09431703220942925,0.9977,0.8333,0.993,"[14, 10, 6, 3, 6, 10, 14]",0.9977,0.8333,0.9683
8,,117,0.9883,0.6667,0.6667,38,0.05,1.0,1.0,0.993,38,0.05,0.9977,0.8333,0.9096,28,81,0.05,0.9988,0.8333,0.993,0.05,0.4870833097733988,0.9988,0.8333,0.993,[14],0.9977,0.8333,0.9683
9,,145,0.9953,1.0,0.75,90,0.05,0.9965,0.8333,0.993,90,0.05,1.0,1.0,0.9965,28,16,0.05,0.9941,0.8333,0.993,0.05,0.7753437274107352,0.9988,0.8333,0.993,"[14, 11, 8, 5, 3, 5, 8, 11, 14]",0.9977,0.8333,0.9683
