,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,KNN,KNN,KNN,KNN,KNN,LOF,LOF,LOF,LOF,LOF,IForest,IForest,IForest,IForest,IForest,IForest,OCSVM,OCSVM,OCSVM,OCSVM,OCSVM,AutoEncoder,AutoEncoder,AutoEncoder,AutoEncoder
,n_jobs,n_estimators,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,n_neighbors,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,n_neighbors,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,random_state,n_estimators,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,contamination,gamma,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,hidden_neurons,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict
0,,111,0.9065,0.0,0.5037,42,0.05,0.889,0.0625,0.507,42,0.05,0.8064,0.0625,0.5054,28,23,0.05,0.8805,0.0,0.4725,0.05,0.012679326812500414,0.8685,0.0,0.4725,"[7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 2, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7]",0.9074,0.0,0.6109
1,,116,0.8967,0.0625,0.5662,76,0.05,0.8956,0.0625,0.507,76,0.05,0.838,0.0625,0.5054,28,36,0.05,0.8655,0.0,0.4725,0.05,0.0008485495672153498,0.8706,0.0,0.4725,"[7, 4, 1, 4, 7]",0.9082,0.0,0.6438
2,,109,0.8976,0.0625,0.5054,16,0.05,0.8942,0.0625,0.507,16,0.05,0.7698,0.0625,0.507,28,18,0.05,0.8762,0.0625,0.5054,0.05,7.494965603069268e-07,0.896,0.0,0.4725,"[7, 6, 6, 5, 4, 4, 3, 3, 2, 2, 1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 6, 6, 7]",0.9074,0.0,0.6109
3,,131,0.8872,0.0625,0.5334,95,0.05,0.8938,0.0625,0.5086,95,0.05,0.8627,0.0625,0.5054,28,29,0.05,0.8786,0.0,0.4725,0.05,6.0694114676154435e-05,0.874,0.0,0.4725,"[7, 6, 5, 5, 4, 4, 3, 2, 2, 1, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 7]",0.9074,0.0,0.6109
4,,127,0.907,0.0625,0.535,2,0.05,0.6971,0.125,0.5496,2,0.05,0.3806,0.0625,0.4903,28,11,0.05,0.8501,0.0,0.4725,0.05,0.029454892626256144,0.8681,0.0,0.4725,"[7, 6, 5, 4, 3, 2, 1, 1, 1, 2, 3, 4, 5, 6, 7]",0.9074,0.0,0.6109
5,,120,0.8575,0.0625,0.535,37,0.05,0.89,0.0625,0.5086,37,0.05,0.8105,0.0625,0.5054,28,30,0.05,0.8784,0.0,0.4725,0.05,0.00037752948147387047,0.8716,0.0,0.4725,"[7, 6, 5, 4, 4, 3, 2, 1, 1, 1, 2, 3, 4, 4, 5, 6, 7]",0.9074,0.0,0.6109
6,,126,0.905,0.0625,0.5334,73,0.05,0.897,0.0625,0.5054,73,0.05,0.835,0.0625,0.5054,28,40,0.05,0.8724,0.0,0.4725,0.05,1.9004371387710233e-06,0.896,0.0,0.4725,"[7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 2, 1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7]",0.9074,0.0,0.6109
7,,110,0.8208,0.0,0.5334,15,0.05,0.893,0.0625,0.507,15,0.05,0.7516,0.0625,0.507,28,31,0.05,0.8738,0.0,0.4725,0.05,0.09431703220942925,0.8687,0.0,0.4725,"[7, 5, 3, 1, 3, 5, 7]",0.909,0.0,0.6438
8,,117,0.8701,0.0,0.4773,38,0.05,0.8902,0.0625,0.507,38,0.05,0.8081,0.0625,0.507,28,19,0.05,0.876,0.0,0.5054,0.05,0.4870833097733988,0.8726,0.0,0.5054,[7],0.909,0.0,0.6438
9,,145,0.8595,0.0,0.5366,90,0.05,0.894,0.0625,0.5054,90,0.05,0.8582,0.0625,0.5054,28,27,0.05,0.8815,0.0625,0.5054,0.05,0.7753437274107352,0.8726,0.0,0.5054,"[7, 5, 4, 2, 1, 2, 4, 5, 7]",0.9074,0.0,0.6109
