,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,NoisyOutlierDetector,KNN,KNN,KNN,KNN,KNN,LOF,LOF,LOF,LOF,LOF,IForest,IForest,IForest,IForest,IForest,IForest,OCSVM,OCSVM,OCSVM,OCSVM,OCSVM,AutoEncoder,AutoEncoder,AutoEncoder,AutoEncoder
,n_jobs,n_estimators,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,n_neighbors,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,n_neighbors,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,random_state,n_estimators,contamination,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,contamination,gamma,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict,hidden_neurons,roc_auc_dec_func,precision@n_dec_func,roc_auc_predict
0,,111,0.5551,0.2766,0.4801,42,0.05,0.4974,0.1702,0.5014,42,0.05,0.5095,0.1702,0.4841,28,75,0.05,0.4871,0.1489,0.4948,0.05,0.012679326812500414,0.4722,0.1489,0.5087,"[26, 24, 23, 21, 20, 18, 16, 15, 13, 12, 10, 9, 7, 6, 7, 9, 10, 12, 13, 15, 16, 18, 20, 21, 23, 24, 26]",0.4616,0.1489,0.4896
1,,116,0.6404,0.4048,0.5981,76,0.05,0.5009,0.1702,0.5087,76,0.05,0.4934,0.1915,0.4981,28,105,0.05,0.4926,0.1277,0.4948,0.05,0.0008485495672153498,0.4713,0.1489,0.5087,"[26, 16, 6, 16, 26]",0.462,0.1489,0.4896
2,,109,0.6308,0.3673,0.5014,16,0.05,0.5318,0.1915,0.4841,16,0.05,0.5223,0.2128,0.4735,28,55,0.05,0.4702,0.1277,0.4948,0.05,7.494965603069268e-07,0.546,0.234,0.5087,"[26, 24, 22, 20, 18, 17, 15, 13, 11, 9, 7, 6, 7, 9, 11, 13, 15, 17, 18, 20, 22, 24, 26]",0.4622,0.1489,0.4896
3,,131,0.5,0.0,0.5,95,0.05,0.5061,0.2128,0.5087,95,0.05,0.4922,0.2128,0.5087,28,84,0.05,0.4874,0.1277,0.4948,0.05,6.0694114676154435e-05,0.4844,0.1702,0.5087,"[26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26]",0.4612,0.1489,0.4896
4,,127,0.6389,0.25,0.4908,2,0.05,0.4663,0.1064,0.4801,2,0.05,0.4337,0.1915,0.4934,28,162,0.05,0.5075,0.1702,0.4948,0.05,0.029454892626256144,0.4744,0.1489,0.5087,"[26, 23, 20, 17, 14, 11, 8, 6, 8, 11, 14, 17, 20, 23, 26]",0.4615,0.1489,0.4896
5,,120,0.6185,0.3043,0.5014,37,0.05,0.5078,0.1489,0.4948,37,0.05,0.5159,0.1702,0.4875,28,115,0.05,0.4891,0.1064,0.4948,0.05,0.00037752948147387047,0.4713,0.1489,0.5087,"[26, 23, 21, 18, 16, 13, 11, 8, 6, 8, 11, 13, 16, 18, 21, 23, 26]",0.4598,0.1489,0.4896
6,,126,0.6131,0.2979,0.4882,73,0.05,0.4982,0.1702,0.5087,73,0.05,0.492,0.1915,0.4981,28,157,0.05,0.5051,0.1489,0.4948,0.05,1.9004371387710233e-06,0.546,0.234,0.5087,"[26, 24, 23, 21, 19, 17, 16, 14, 12, 11, 9, 7, 6, 7, 9, 11, 12, 14, 16, 17, 19, 21, 23, 24, 26]",0.4612,0.1489,0.4896
7,,110,0.6196,0.3333,0.4841,15,0.05,0.5367,0.1915,0.4841,15,0.05,0.5187,0.2128,0.4702,28,26,0.05,0.5011,0.1489,0.4948,0.05,0.09431703220942925,0.4788,0.1489,0.5087,"[26, 19, 12, 6, 12, 19, 26]",0.4603,0.1489,0.4896
8,,117,0.5997,0.2979,0.4908,38,0.05,0.5036,0.1702,0.4948,38,0.05,0.5144,0.1702,0.4908,28,49,0.05,0.4771,0.1489,0.4948,0.05,0.4870833097733988,0.4865,0.1915,0.5087,[26],0.4623,0.1489,0.4896
9,,145,0.6341,0.2381,0.4981,90,0.05,0.5058,0.2128,0.5087,90,0.05,0.4911,0.1915,0.5087,28,122,0.05,0.4834,0.1489,0.4948,0.05,0.7753437274107352,0.4818,0.1702,0.4948,"[26, 21, 16, 11, 6, 11, 16, 21, 26]",0.462,0.1489,0.4896
