n_noise_features,repetition,Ours,KNN,LOF,IForest,OCSVM,AutoEncoder
0,0,0.6349161617584895,0.537128364097506,0.5188107651120192,0.4965478371142736,0.5460053543750881,0.45906721149781604
0,1,0.5758771311821896,0.537128364097506,0.5188107651120192,0.4768211920529801,0.5460053543750881,0.46188530364942937
0,2,0.6216006763421165,0.537128364097506,0.5188107651120192,0.49880231083556437,0.5460053543750881,0.4606171621812033
0,3,0.5,0.537128364097506,0.5188107651120192,0.4793574749894321,0.5460053543750881,0.4618853036494293
0,4,0.6261800760884881,0.537128364097506,0.5188107651120192,0.5062702550373397,0.5460053543750881,0.461180780611526
0,5,0.5963787515851768,0.537128364097506,0.5188107651120192,0.48781175144427225,0.5460053543750881,0.4597717345357193
0,6,0.5966605608003382,0.537128364097506,0.5188107651120192,0.5066929688600816,0.5460053543750881,0.4600535437508807
0,7,0.6079329294067917,0.537128364097506,0.5188107651120192,0.4809074256728195,0.5460053543750881,0.45977173453571935
0,8,0.6349161617584895,0.537128364097506,0.5188107651120192,0.4986614062279836,0.5460053543750881,0.461603494434268
0,9,0.5,0.537128364097506,0.5188107651120192,0.49640693250669293,0.5460053543750881,0.46202620825701
4,0,0.6040580526983232,0.5267718754403269,0.5164153867831478,0.47724390587572213,0.5360011272368607,0.4689305340284627
4,1,0.5743271804988024,0.5384669578695224,0.5062702550373397,0.4900662251655629,0.5658729040439623,0.4716077215724954
4,2,0.6284345498097788,0.5197970973650838,0.4911934620262083,0.4978159785824997,0.5300831337184726,0.4528674087642667
4,3,0.5,0.4935183880512892,0.5083838241510497,0.5004931661265324,0.5164153867831478,0.4555445963082993
4,4,0.6444976750739748,0.5096519656192757,0.5086656333662111,0.5168381006058899,0.5445963082992814,0.460335352966042
4,5,0.5986332253064675,0.5127518669860505,0.49006622516556286,0.48865717908975626,0.5488234465267015,0.4623080174721713
4,6,0.6070875017613075,0.5312103705791179,0.5097928702268564,0.5265605185289559,0.5588276736649288,0.4768211920529801
4,7,0.6210370579117936,0.5178948851627447,0.48499365929265886,0.4907707482034662,0.5216288572636325,0.4558264055234606
4,8,0.6368183739608285,0.5040157813160491,0.47963928420459345,0.49964773848104826,0.5376919825278286,0.4735803860786248
4,9,0.5,0.5151472453149217,0.5019022122023391,0.4910525574186276,0.5410736931097647,0.4597717345357194
8,0,0.6315344511765535,0.4971819078483867,0.5072565872904045,0.5031703536705651,0.5285331830350852,0.45441735944765393
8,1,0.5791883894603354,0.4937297449626603,0.4734394814710441,0.46413977737072,0.5221924756939553,0.45117655347329855
8,2,0.6227279132027617,0.5004931661265324,0.5150063407073411,0.4794983795970128,0.5372692687050866,0.462871635902494
8,3,0.5,0.5159222206566154,0.49654783711427364,0.4599126391433,0.5344511765534732,0.45808087924475127
8,4,0.6309003804424405,0.4821755671410455,0.48020290263491616,0.4655488234465267,0.4979568831900803,0.4342680005636184
8,5,0.5907425672819502,0.504438495138791,0.4904889389883049,0.500634070734113,0.5316330844018599,0.45568550091587995
8,6,0.6048330280400169,0.5219106664787939,0.5166971959983091,0.501056784556855,0.5581231506270254,0.48006199802733546
8,7,0.5979991545723545,0.4962660278991123,0.47062138931943065,0.47456671833168945,0.5128927715936311,0.4465267014231365
8,8,0.6371706354797801,0.5002818092151613,0.47879385655910955,0.4755530505847541,0.5182471466816965,0.4486402705368465
8,9,0.5,0.5017613075947583,0.49542060025362833,0.4469494152458785,0.5196561927575032,0.44610398760039455
12,0,0.6179371565450191,0.4923911511906439,0.47259405382556013,0.4759757644074961,0.5262787093137946,0.456530928561364
12,1,0.5836973369029168,0.5343807242496831,0.5268423277441172,0.4988023108355643,0.5472734958433141,0.4763984782302381
12,2,0.6353388755812315,0.4811187825841905,0.4690714386360434,0.4814710441031421,0.5192334789347612,0.4535719318021699
12,3,0.5,0.49316612653233755,0.48330280400169084,0.49260250810201495,0.5102155840495983,0.4535719318021699
12,4,0.6475975764407496,0.5052134704804847,0.5305058475412145,0.49654783711427364,0.54854163731154,0.46611244187684936
12,5,0.579963364802029,0.5052134704804847,0.5159926729604059,0.48767084683669154,0.536705650274764,0.46540791883894606
12,6,0.6102578554318725,0.4548400732703959,0.46343525433281674,0.4840073270395942,0.5195152881499225,0.4555445963082993
12,7,0.6156122305199381,0.4832323516979005,0.49823869240524166,0.4673805833450754,0.5188107651120191,0.4630125405100747
12,8,0.6149781597858249,0.4625898266873327,0.45934902071297734,0.46878962942088204,0.500634070734113,0.4599126391433
12,9,0.5014090460758067,0.5141609130618571,0.5040157813160491,0.4716077215724954,0.5447372129068621,0.45582640552346065
16,0,0.6478089333521206,0.45568550091587995,0.46583063266168806,0.4983795970128223,0.5340284627307312,0.46329434972523603
16,1,0.5729181344229956,0.46942370015499507,0.4528674087642666,0.4651261096237847,0.4944342680005636,0.4438495138791038
16,2,0.6290686205438918,0.529942229110892,0.5137381992391151,0.5017613075947583,0.5472734958433141,0.45878540228265463
16,3,0.5,0.5239537832887136,0.5141609130618572,0.5298013245033113,0.5544596308299281,0.4701986754966887
16,4,0.6498520501620404,0.5376919825278286,0.5182471466816965,0.4847118500774975,0.5462871635902494,0.47033958010426946
16,5,0.5960264900662251,0.5024658306326617,0.502747639847823,0.5223333803015359,0.5214879526560519,0.4659715372692687
16,6,0.5994082006481611,0.48083697336902914,0.4778075243060448,0.5062702550373397,0.5175426236437932,0.4437086092715232
16,7,0.6146258982668733,0.5114132732140341,0.5103564886571791,0.4906298435958856,0.5327603212625054,0.47287586304072143
16,8,0.6204029871776807,0.4902071297731436,0.4896435113428209,0.4676623925602368,0.5178244328589545,0.45441735944765393
16,9,0.4891503452162886,0.4900662251655629,0.48104833028040017,0.4673805833450754,0.5089474425813724,0.45019022122023394
20,0,0.6259687191771172,0.48767084683669154,0.4803438072424968,0.4907707482034662,0.5255741862758913,0.45653092856136396
20,1,0.5783429618148513,0.42095251514724535,0.40228265464280677,0.4734394814710441,0.5075383965055658,0.44638579681555585
20,2,0.6485134563900239,0.49837959701282236,0.48781175144427225,0.490911652811047,0.546850782020572,0.4620262082570101
20,3,0.5,0.4843595885585459,0.4879526560518529,0.4818937579258841,0.5255741862758913,0.46456249119346205
20,4,0.6210370579117936,0.48851627448217555,0.47653938283781877,0.5095110610116951,0.5250105678455685,0.4673805833450754
20,5,0.5898266873326757,0.5128223192898408,0.5013385937720163,0.4827391855713682,0.534169367338312,0.4635761589403974
20,6,0.5836973369029168,0.4954206002536283,0.46033535296604194,0.5081020149358884,0.5155699591376638,0.45610821473862195
20,7,0.5963082992813865,0.47604621671128655,0.48372551782443285,0.462448922079752,0.5113428209102437,0.4428631816260392
20,8,0.6528110469212343,0.5166971959983092,0.5217697618712132,0.5140200084542764,0.5534732985768636,0.4820346625334649
20,9,0.48295054248273916,0.4186980414259546,0.430181766943779,0.5089474425813725,0.5038748767084684,0.44131323094265185
24,0,0.6156122305199381,0.45448781175144426,0.45258559954910527,0.48950260673524026,0.4952796956460476,0.44511765534732983
24,1,0.5940538255600958,0.49492743412709594,0.4921797942792729,0.4521628857263632,0.5376919825278286,0.4452585599549105
24,2,0.6078624771030012,0.5402987177680709,0.5554459630829928,0.5372692687050866,0.569395519233479,0.4907707482034663
24,3,0.5,0.5052839227842749,0.5082429195434691,0.5081020149358884,0.5431872622234747,0.458221783852332
24,4,0.6277300267718755,0.47019867549668876,0.47949837959701286,0.4886571790897562,0.5292377060729887,0.4538537410173313
24,5,0.5870085951810624,0.42003663519797096,0.43412709595603777,0.46583063266168806,0.4893617021276596,0.43581795124700584
24,6,0.5951810624207412,0.49894321544314496,0.49330703113991825,0.4914752712413696,0.541355502324926,0.46160349443426796
24,7,0.5990559391292096,0.45970128223192896,0.4734394814710441,0.4809074256728195,0.49626602789911234,0.4559673101310413
24,8,0.6074397632802593,0.44920388896716923,0.43666337889248985,0.44004508947442583,0.5081020149358884,0.4503311258278145
24,9,0.6121600676342117,0.5488938988304918,0.5558686769057348,0.5072565872904045,0.5692546146258983,0.48950260673524026
28,0,0.6207552486966323,0.4999295476962096,0.5135972946315344,0.49161617584895023,0.5272650415668592,0.4600535437508806
28,1,0.5429759053121037,0.5083838241510498,0.5086656333662111,0.4520219811187826,0.5207834296181485,0.46244892207975197
28,2,0.6390728476821192,0.44053825560095816,0.45329012258700857,0.46907143863604334,0.4876708468366916,0.425954628716359
28,3,0.5,0.4455403691700719,0.4341270959560377,0.45103564886571784,0.47935747498943215,0.4129914048189376
28,4,0.6402705368465549,0.5407918838946034,0.544737212906862,0.5486825419191209,0.5602367197407355,0.5137381992391151
28,5,0.5853177398900944,0.5576299845004932,0.5633366211075101,0.49260250810201495,0.5557277722981542,0.48922079752007896
28,6,0.5758066788783993,0.4518106242074116,0.41454135550232496,0.4718895307876567,0.4878117514442722,0.43750880653797375
28,7,0.5965196561927575,0.4623784697759617,0.46738058334507543,0.4744258137241088,0.497675073974919,0.4373679019303931
28,8,0.6231506270255038,0.49070029589967595,0.4809074256728195,0.48471185007749756,0.5300831337184726,0.46878962942088204
28,9,0.5,0.5225447372129068,0.5088065379737918,0.5209243342257291,0.5558686769057348,0.48471185007749756
32,0,0.6295617866704241,0.5030999013667746,0.4941524587854023,0.4935888403550796,0.5134563900239537,0.45174017190362126
32,1,0.57806115259969,0.5109201070875018,0.5120473439481471,0.5110610116950824,0.5448781175144427,0.4889389883049176
32,2,0.6289981682401016,0.46308299281386506,0.45934902071297734,0.4634352543328167,0.49217979427927294,0.4308862899816824
32,3,0.5,0.4768211920529801,0.48062561645765817,0.5034521628857265,0.5042975905312104,0.4434268000563618
32,4,0.6311117373538114,0.5176130759475834,0.5164153867831478,0.4957024094687896,0.540510074679442,0.47611666901507677
32,5,0.5758066788783993,0.40538255600958156,0.4039735099337748,0.4568127377765253,0.45216288572636326,0.4051007467944202
32,6,0.5846836691559815,0.4880231083556432,0.47569395519233476,0.5112019163026631,0.5112019163026631,0.47794842891362543
32,7,0.6046216711286458,0.5296604198957305,0.5096519656192757,0.5295195152881499,0.5462871635902494,0.4930252219247569
32,8,0.6406932506692968,0.508242919543469,0.5076793011131464,0.5066929688600816,0.5455826405523461,0.4651261096237847
32,9,0.4799210934197548,0.4903480343807243,0.4848527546850782,0.491334366633789,0.5193743835423419,0.45596731013104125
36,0,0.6046216711286458,0.4977455262787093,0.4856981823305622,0.48513456390023957,0.5489643511342821,0.44554036917007184
36,1,0.5440326898689587,0.4599126391433,0.45639002395378325,0.46132168521910666,0.4859799915457235,0.4435677046639425
36,2,0.6239256023671975,0.44117232633507114,0.4530083133718472,0.46963505706636616,0.5054248273918558,0.4466676060307172
36,3,0.5,0.5180357897703254,0.5141609130618572,0.467098774129914,0.538396505565732,0.4555445963082993
36,4,0.6460476257573622,0.5255037339721009,0.5171199098210512,0.5020431168099196,0.5531914893617021,0.47048048471185
36,5,0.5923629702691278,0.506552064252501,0.49274341270959554,0.5171199098210512,0.5144427222770185,0.4666760603071721
36,6,0.58651542905453,0.4704100324080598,0.4669578695223334,0.4725940538255601,0.506129350429759,0.4487811751444272
36,7,0.5800338171058194,0.5293081583767789,0.5169790052134704,0.48471185007749745,0.5534732985768634,0.47245314921797943
36,8,0.6266027899112301,0.5278286599971819,0.5135972946315345,0.4782302381287868,0.5465689728054107,0.47287586304072143
36,9,0.4799210934197548,0.4367338311962801,0.43863604339861917,0.4866845145836269,0.48823446526701425,0.4576581654220093
40,0,0.6190643934056643,0.5107087501761307,0.49457517260814426,0.48823446526701425,0.5533323939692828,0.4806256164576581
40,1,0.5717204452585599,0.5128927715936311,0.508242919543469,0.49809778779766095,0.5426236437931521,0.4814710441031421
